Title,Film,Year,Singer,Composer,Lyricist,Lyrics
mere dil kaa vo shahazaadaa,kabhi na kabhi,1997,asha,a r rahman,javed akhtar, mere dil kaa vo shahazaadaa meraa dilabar meraa premii  kabhii na kabhii to aayegaa vo kabhii na kabhii main banuungii usakii  mere dil kaa vo shahazaadaa meraa dilabar meraa premii kabhii na kabhii to aayegaa vo kabhii na kabhii main banuungii usakii  duniyaa men vo sabase pyaaraa merii qismat kaa vo taaraa  mere dil kaa vo shahazaadaa meraa dilabar meraa premii kabhii na kabhii to aayegaa vo kabhii na kabhii main banuungii usakii ho duniyaa men vo sabase pyaaraa merii qismat kaa vo taaraa  kaun hai vo nahiin jaanuun main usako jaanuun naa pahachaanuun main  karuun kyaa ye bataa kaise nikalegaa aramaan dil se  kaise jaa ke milegaa manzil se raastaa ye bataa  mere dil kaa vo shahazaadaa meraa dilabar meraa premii kabhii na kabhii to aayegaa vo kabhii na kabhii main banuungii usakii ho duniyaa men vo sabase pyaaraa merii qismat kaa vo taaraa  kaun hai kis se hogaa pyaar mujhe 2  jaanen kis kaa hai intazaar mujhe  jaanen  merii hairaanii merii pareshaanii samajhe naa  kisako main chaahuun ye bhii nahiin jaanuun samajhe naa  tum hii kaho jaauun kahaan usakaa na koii pataa na koii nishaan  phir bhii meraa dil kahataa hai sapanon men jo rahataa hai  ik na ik din to vo milane aayegaa  mere dil kaa vo shahazaadaa meraa dilabar meraa premii kabhii na kabhii to aayegaa vo kabhii na kabhii main banuungii usakii aa a aa ho duniyaa men vo sabase pyaaraa merii qismat kaa vo taaraa  mere dil kaa vo shahazaadaa meraa dilabar meraa premii 
jaaduu saa chhaane lagaa  ye dil kyaa kare,dil kyaa kare,1999,udit narayan alka yagnik kumar sanu alka yagnik,jatin lalit,anand bakshi, jaaduu saa chhaane lagaa paagal banaane lagaa kuchh yaad aane lagaa kuchh bhuul jaane lagaa kyaa naa kare kyaa kare ye dil kyaa kare  diivaanaa paagal saa dil aankhon men kaajal saa dil laharaate aanchal saa dil zulfon men baadal kaa dil tarase na ye barase na ye ye dil kyaa kare threedots  tumase churaa len tumhen sabase chhupaa len tumhen jaan se lagaa len tumhen sapanaa banaa len tumhen main betaab huun tuu bechain hai ye dil kyaa kare threedots bhuulaa fasaanaa koii guzaraa zamaanaa koii saathii puraanaa koii banake bahaanaa koii agar dil men yuun samaa jaae to ye dil kyaa kare threedots  is paar rah naa sake us paar jaa naa sake khaamosh rah naa sake jo chaahe kah naa sake ye paagal samaan ye mausam javaan ye dil kyaa kare threedots 
nain hain yaa ke jaam saaqii ke,passions nonfilm,1993,ghulam ali,ghulam ali,chowdhari bashir,     nain hain yaa ke jaam saaqii ke ho gaye ham gulaam saaqii ke  jaanodil ab kahaan rahe apane kar diye hamane naam saaqii ke  may hii may chal rahii thii har jaanib ham gaye ghar jo shaam saaqii ke  aaj waaiz ko jhuumate dekhaa ho na ho hain ye kaam saaqii ke  ho gaye ham asiiremayakaanaa aa gaye zeredaam saaqii ke 
aaii hai duur se ladakii diivaanii hai  bhuule nahiin ye safaarii,safaari,1999,amit kumar,shyam mohan,rani malik, aaii hai duur se ladakii diivaanii hai hai to vo ajanabii par jaanii pahachaanii hai mujhako to yaad rahegaa ye safar pyaar kaa dekho bhulaanaa nahiin tum bhii kabhii ye safaarii ye safaarii yaad rahe bhuule nahiin ye safaarii  thodii thodii gusse men bhiigii javaanii hai dekho dekho mil gayaa aag men paanii hai tumako bhii to siidhe raste le hii aaegii ye safaarii threedots  daavaa hai ye meraa chaahe jaao jahaan dil pe rah jaaenge in lamhon ke nishaan terii aankhon se bhii ik din niind churaaegii ye safaarii threedots 
jab jab tumako dekhaa dil mastaanaa ho gayaa,meeraa kaa mohan,1992,anuradha paudwal udit narayan,arun paudwal,indivar, ku 	jab jab tumako dekhaa dil mastaanaa ho gayaa 	terii har adaa pe dil diivaanaa ho gayaa 	tuu le le mujhe baanhon men padaa rahuun terii raahon men lailaa  a 	jab jab tujhako dekhuun main aankhen jhuk jaatii hain 	terii baaten sun sun kar saansen ruk jaatii hain 	ki aise mujhe dekho naa jaao jii mujhe chhedo naa chhailaa  ku 	ho teraa pyaar maange dil baar baar maange dil aake mil 	jitanaa diidaar huaa utanaa beqaraar huaa haay dil a 	ho khoii khoii rahatii huun sakhiyon se kahatii huun haaledil 	jhuumen taqadiir merii chuumuun tasviir terii jaauun khil  ku 	dil hii meraa bas men nahiin hai aramaan aise jaage a 	himmat jo nibhaane kii ho badhanaa tabhii aage ku 	honthon pe suruur lie chehare par nuur lie aa gayaa a 	zaraa muskaraate hii zindagii men aate hii tuu chhaa gayaa  ku 	ek to hasiin hai tuu usape zahiin hai tuu dilarubaa 	tuu jo milii aisaa lagaa mujhe hasiinon kaa kudaa mil gayaa 	are hai na koii hogaa jag men pyaaraa tujhase badhake a 	le jaa merii dolii le jaa jaldii mere ghar se 
is dil men kyaa hai dhadakan,jab pyaar kisi se hotaa hai,1998,lata kumar sanu,jatin lalit,anand bakshi, is dil men kyaa hai dhadakan dhadakan men kyaa hai saajan phuulon men kyaa hai khushbuu aankhon men kyaa hai jaaduu tuu merii jaan hai tuu hii meraa pyaar tere lie hii main huun bekaraar is dil men kyaa hai threedots  chhuu liyaa tuune mujhako saaraa badan jal rahaa hai pyaar men zor kaisaa koii jaaduu saa bas chal rahaa hai paagal naa main ho jaauun is dil men kyaa hai threedots  thaam le merii baahen mausam javaan hai hasiin hai kyaa karuun naam teraa dil bhuulataa hii nahiin hai jaaguun yaa main so jaauun is dil men kyaa hai threedots 
sadiyon kaa hai silasilaa pahachaan ye puraanii hai  miit mere man ke,meet mere man ke,1991,anuradha paudwal mohammed aziz,babul bose,ravindra rawal, sadiyon kaa hai silasilaa pahachaan ye puraanii hai duniyaa ke gulashan men aa ke bahaar ban ke miit mere man ke  tadapaayaa milane se pahale hamen mil ke bhii tarasaayaa tumane sanam paanv men zanjiir thii sharm kii chaah ke bhii magar badh sake na kadam ab na rahii vo duurii khatm huii majabuurii mil hii gaye aaj ham duniyaa men giit mere man ke  saaye men jis ke mile tumase ham aisii hii barasaat kii shaam thii motii kii jo buund tan pe padii laaii khushii kaa paigaam thii mastaane mausam kii pyaar bharii vo chitthii diivaane ke naam thii duniyaa ke gulashan men threedots  shaakhon pe jaise naye gul khile ham bhii naye ruup men yuun mile khushbuu na badalii kabhii pyaar kii banate rahe pyaar ke silasile ulfat kii raahon men manzil kii chaahon men badhate rahe qaafile duniyaa ke gulashan men threedots 
ye hai chemistry pyaar kii  dil ke test tube men,muqaddar,1996,shankar mahadevan parvez gayatri iyer,anand milind,sameer, ke ke ke ke chemistry ye hai chemistry pyaar kii dil ke test tube men pyaar kaa oxygen daalo kyaa hai zaruurat chaay kii kyaa hai zaruurat yaar kii  tumane sunaa maine kyaa bolaa ye hai milan kaa formula aao karen ham practical chal kahiin mere saath chal ye kaisaa oxide hai love kaa ye hydride hai ye hai chemistry dil ke test tube men threedots  ye hain kaise bulabule chaahat ke hain silasile tuu sulphate men nitrogen ho jaae na explosion kaisaa experiment hai ishq to permanent hai ye hai chemistry dil ke test tube men threedots 
mujhe ek pal chain na aae o sajanaa tere binaa,judaai,1997,alka yagnik jaspindar narula,nadeem shravan,sameer, mujhe ek pal chain na aae o sajanaa tere binaa  ankhiyaan milaake tuu na jaane ki hai kaisii baat haath kii mehandii mahake maahii ab to saarii raat tuu merii jaan hai tuu meraa dharam tuu hai merii zindagaanii mil ke likhuungaa saath main tere is jiivan kii kahaanii judaaii judaaii o rabbaa aae na judaaii har mod pe jii ghabaraae sajanaa tere binaa mere dil ko kuchh nahiin bhaae sajanaa tere binaa mujhe ek pal chain threedots  naa pahanuun main jhuumar kanganaa na chandan kaa haar tere pyaar ke gahanon se main kar luun sau shrringaar tan man donon ko pighalaae in saanson kii garmii phuulon se bhii naram hai jaanam in honthon kii narmii judaaii judaaii kabhii aae na judaaii merii pyaas ko kaun bujhaae sajanaa tere binaa mere dil ko kuchh nahiin bhaae sajanaa tere binaa mujhe ek pal chain threedots 
zindagii men jiite jiite maranaa zaruur thaa,naagmani,1991,kumar sanu anuradha,annu malik,santosh anand, zindagii men jiite jiite maranaa zaruur thaa tum mil gae ho ho ho ho tum mil gae ho pyaar karanaa zaruur thaa  ye sabakaa hai kyaal hai umr kaa savaal is jism se tum hii kaho dil kaise den nikaal haalaat ke tuufaan se guzaranaa zaruur thaa tum mil gae ho threedots  duniyaa badal gaii har chiiz mil gaii lagataa hai har kushii merii qismat men dhal gaii mujhako tumhaare dil men utaranaa zaruur thaa tum mil gae ho threedots 
