Title,Film,Year,Singer,Composer,Lyricist,Lyrics
suquun dil ko mayassar gulosamar men nahiin,street singer,1938,saigal kanan devi saigal,rai chand boral,aarzoo lakhnawi,	suquun dil ko mayassar gulosamar men nahiin jo aashiyaan men hai apane vah baag bhar men nahiin	jahaan hai raaheguzar kah rahii hai chalatii saans suquun kii aur ummiid umar bhar bhii nahiin	na aasaraa ho jise duusaron kaa e hamadam vah aisaa dil hai ki jaise chiraag ghar men nahiin	paraae duhkh ko duhkh apanaa samajh le aur de saath bashar nahiin jo yah baat aarazuu bashar men nahiin 
kamasinii men dil pe gam kaa baar kyon,amrit manthan,1934,shanta apte chorus,keshavrao bhole,veer muhammedpuri,	kamasinii men dil pe gam kaa baar kyon	kamasinii men dil pe gam kaa baar kyon	vaa ye qismat paas gul ke kaar kyon	vaa ye qismat paas gul ke kaar kyon	tuut jab ummiid hii apanii gayii	tuut jab ummiid hii apanii gayii	bandh rahaa hai aansuon kaa taar kyon	bandh rahaa hai aansuon kaa taar kyon	dil huaa tukade to pahale baar men	dil huaa tukade to pahale baar men	phir bhii tiiron kii hai ye bauchhaar kyon	viir is diiwaanagii men hai mazaa	viir is diiwaanagii men hai mazaa	log kahate hain ise aazaar kyon	log kahate hain ise aazaar kyon	
din niike biite jaate hain sumaran kar siyaaraam naam,pooran bhagat,1933,saigal,r c boral,, aa aa	din niike biite jaate hain sumaran kar siyaaraam naam	din niike biite jaate hain sumaran kar siyaaraam naam	haan sumaran kar siyaaraam naam din niike biite jaate hain	kaun tumhaaraa kutambkabiilaa ye sab matalab kaa hai liilaa	kaun tumhaaraa kutambkabiilaa ye sab matalab kaa hai liilaa	jiitejii ke naate hain sab	jiitejii ke naate hain sab	jiitejii ke naate hain	sumaran kar siyaaraam naam din niike biite jaate hain	sumaran kar siyaaraam naam din niike biite jaate hain	sumaran kar siyaaraam naam din niike biite jaat	laakhchauraasii bhugat ke aayaa	laakhchauraasii bhugat ke aayaa	bade bhaagya maanus tan paayaa laakhchauraasii bhugat ke aayaa bade bhaagya maanus tan paayaa taa par bhii nahiin karii kamaaii	bade bhaagya maanus tan paayaa laakhchauraasii bhugat ke aayaa bade bhaagya maanus tan paayaa taa par bhii nahiin karii kamaaii	bade bhaagya maanus tan paayaa laakhchauraasii bhugat ke aayaa bade bhaagya maanus tan paayaa taa par bhii nahiin karii kamaaii	phir paachhe pachhataate hain are phir paachhe pachhataate hain	phir paachhe pachhataate hain are phir paachhe pachhataate hain	sumaran kar siyaaraam naam din niike biite jaate hain sumaran kar siyaaraam naam haan sumaran kar siyaaraam naam din niike biite jaat 
kaahe ko mohe chhere re beimanawaa,pukaar,1939,sardar akhtar chorus,mir sahab,kamal amrohi,	sa	kaahe ko mohe chhere re beimanawaa	kaahe ko mohe chhere re beimanawaa	kaahe ko mohe chhere	chher ke mohe pachhataiibe re	pachhataiibe re	pachhataiibe re	beimanawaa	kaahe ko mohe	raajaa tumahiin se haare	naajaa tumahii se lagiyaa lagaay	inake jaat morii dhobaniyaa	inake jaat morii dhobaniyaa	raajaa tumahii se	cholii dhulawaa ke chhoduu	chunarii rangawaa ke chhoduu	chunarii rangawaa ke chhoduu	angiyaa bandhawaa ke chhoduu	angiyaa bandhawaa ke chhoduu	raajaa raajaa	tumahii se lagiyaa lagaay	inake jaat morii dhobaniyaa	raajaa tumahii se lagiyaa lagaay	inake jaat morii dhobaniyaa	sa	galle tohe bhar daiin mere	bhar daiin mere	bhar daiin mere	mere ke mohe ghir jaibe re	ghir jaibe re	beimanawaa	kaahe ko mohe chhere re beimanawaa	kaahe ko mohe chhere 
suhaag kii raat aaii sajanii,adhikaar,1938,pahari sanyal,timir baran,munshi arzoo rasheed,	suhaag kii raat aaii sajanii kaahe bhare tore nainaa	suhaag kii raat aaii sajanii kaahe bhare tore nainaa	suhaag kii raat	aangan men toraa chaand hansat hai	aangan men toraa chaand hansat hai	pawan rachat madhu bain sajanii	pawan rachat madhu bain sajanii	kaahe bhare tore nainaa suhaag kii raat aaii sajanii kaahe bhare tore nainaa suhaag kii raat	phaagun men chit hot udaasii waahii ke sun bainaa	phaagun men chit hot udaasii waahii ke sun bainaa	sohii kaaran bhii udaasii dhar naa rai more nainaa haan sohii kaaran bhii udaasii dhar naa rai more nainaa sajanii dhar naa rai more nainaa suhaag kii raat aaii sajanii kaahe bhare tore nainaa suhaag kii raat	saajan tohe aan pukaare kaahe ghuunghat kaadhe	saajan tohe aan pukaare kaahe ghuunghat kaadhe	ankhiyan men sakhii kaajar phero	ankhiyan men sakhii kaajar phero	aan baso more nain suhaag kii raat aaii sajanii kaahe bhare tore nainaa suhaag kii raat 
mat bhuul musaafir tujhe jaanaa hii padegaa,devdaas,1935,k c dey,timir baran,kedar sharma,	devadaas tum kyaa sachmuch mujhe chhod kar jaa rahe ho	devadaas tum nahiin jaaoge nahiin nahiin main nahiin jaauungaa	aa mat bhuul musaafir tujhe jaanaa hii padegaa	aa mat bhuul musaafir tujhe jaanaa hii padegaa	aa mat bhuul musaafir tujhe jaanaa hii padegaa	phulawaarii jab phuul khile to phuulii nahiin samaatii hai apaniiapanii sundarataa par kaliikalii itaraatii hai shabanam hai jo roro kar shabanam hai jo roro kar har phuul ko ye samajhaatii hai	mat bhuul musaafir tujhe jaanaa hii padegaa mat bhuul musaafir	ek musaafirakhaanaa hai duniyaa ek musaafirakhaanaa hai	ek musaafirakhaanaa hai duniyaa ek musaafirakhaanaa hai	mohjaal men phans kar muurakh mohjaal men phans kar muurakh phir paachhe pachhataanaa hai gaafil ek din sabako yahaan se itanaa sah kar jaanaa hai	mohjaal men phans kar muurakh mohjaal men phans kar muurakh phir paachhe pachhataanaa hai gaafil ek din sabako yahaan se itanaa sah kar jaanaa hai	afasos naa jaanaa thaa ke jaanaa hii padegaa mat bhuul musaafir tujhe jaanaa hii padegaa 
terii gatharii men laagaa chor,dhoop chhaaon bhagya chakra,1935,k c dey,r c boral,pt sudarshan, terii gatharii men laagaa chor musaafir jaag zaraa jaag zaraa terii gatharii men laagaa chor musaafir jaag zaraa	musaafir jaag zaraa terii gatharii	aaja zaraa saa fitanaa hai ye tuu kahataa hai kitanaa hai ye	do din men ye badhakara hogaa munhphat aur munhzor	musaafir jaag zaraa terii gatharii	niinda men maala ganvaa baithegaa	apanaa aapa lutaa baithegaa phira piichhe kuchh nahiin banegaa	laakh machaaye shor musaafir jaag zaraa terii gatharii	
prem kii ho jayjay jiiwan hai ab sukhamay,chandidaas,1934,saigal uma shashi pahadi sanyal,r c boral,aga h kashmiri,	prem kii ho jayjay jiiwan hai ab sukhamay bhaag o aao jag khoyaa gan paayaa	prem kii ho jayjay jiiwan hai ab sukhamay bhaag o aao jag khoyaa gan paayaa	aashaa ke phuul khile hiraday se hiraday mile	aashaa ke phuul khile hiraday se hiraday mile	ek hai praan do kaayaa	ek hai praan do kaayaa	u	byog kii raat kii bhor bhaii phir	sury ne diip dikhaayaa	sury ne diip dikhaayaa	milan kaa shubh din aayaa	milan kaa shubh din aayaa	prem ne man kii gangaajamunaa ko sukhsangam pe milaayaa	prem ne man kii gangaajamunaa ko sukhsangam pe milaayaa	dhanydhany wo rachanaa jisane prem kaa nit gun gaayaa	dhanydhany wo rachanaa jisane prem kaa nit gun gaayaa	prem kii ho jayjay jiiwan hai ab sukhamay bhaag o aao jag khoyaa gan paayaa 
kyuun nainan se niir bahaae,toofaani toli reckless rogues,1937,waheedan bai,gyan dutt,p l santoshi,	kyuun nainan se niir bahaae kyuun nainan se niir	dekh hansegii duniyaa saarii bujh na sakegii piir	pagalii aaj bhulaa de man se saarii biitii baaten jinamen tuune sukh dekhaa thaa vah sapane kii baaten sapanaa kab ho sach paayaa hai yahii samajh rakh dhiir kyuun nainan se	aankhon ke andar aansuu kii nadiyaa ek bahaa le naam piyaa kaa japatejapate sajanii kuub nahaa le hansate hue dubaa de isamen apanii saarii piir muurakh kyuun nainan se	
roshan hai tere dam se duniyaa kaa pariikaanaa,devdaas,1935,pahari sanyal,timir baran,kedar sharma,	roshan hai tere dam se duniyaa kaa pariikaanaa	roshan hai tere dam se duniyaa kaa pariikaanaa	roshan hai tere dam se duniyaa kaa pariikaanaa	allaah tujhe rakhe o jalawaa re jaanaanaa	allaah tujhe rakhe o jalawaa re jaanaanaa	roshan hai tere dam se duniyaa kaa pariikaanaa roshan hai tere dam se	kyaa jalawaagarii hai ye o mast nazar waale	kyaa jalawaagarii hai ye o mast nazar waale	paimaane ke andar hai mayakaane kaa mayakaanaa	paimaane ke andar hai mayakaane kaa mayakaanaa	roshan hai tere dam se duniyaa kaa pariikaanaa roshan hai tere dam se	zaahid ke taassub se sab qafr kaa barapaa hai	zaahid ke taassub se sab qafr kaa barapaa hai	varanaa butakaane men kaabaa hai kaabe men hai butakaanaa	varanaa butakaane men kaabaa hai kaabe men hai butakaanaa	roshan hai tere dam se duniyaa kaa pariikaanaa roshan hai tere dam se 
