Title,Film,Year,Singer,Composer,Lyricist,Lyrics
chalii aaj gorii piyaa kii nagariyaa,godaan,1963,lata,ravi shankar,anjaan, chalii aaj gorii piyaa kii nagariyaa 2 mangiyaa men sinduur odhe chunariyaa 2 chalii aaj gorii piyaa kii nagariyaa   dulaaron se paalii ye komal kalii sii 2 chhipii maan ke aanchal men jaisii darii sii wo hii aaj jaae paraaii nagariyaa 1  ankhiyon men aansuu hain saanson men aandhii 2 sajan se milan ko sajaniyaa hai jaatii nainon se tham tham ke barase badariyaa 2  chalii aaj gorii piyaa kii nagariyaa
un se nazaren milii aur hijaab aa gayaa,ghazal,1964,lata minoo purshottam,madan mohan,sahir, un se nazaren milii aur hijaab aa gayaa zindagii men hasiin inqilaab aa gayaa  bekhabar the umar ke taqaazon se ham hamako maaluum na thaa aise bhii din aayenge aainaa dekhe to aap apane se sharamaayenge aaj jaanaa ki sach much shabaab aa gayaa  aankh jhukatii hai kyon saans rukatii hai kyon in savaalon ka khud se javaab aa gayaa  dil ke aane ko ham kis tarah rokate jisape aanaa thaa kaanaa kharaab aa gayaa 
kin ghadiyon mein priit lagaaii,saarangaa,1960,asha,sardar malik,bharat vyas,      kin ghadiyon mein priit lagaaii sehanii padii judaaii bachapan kaa wo pyaar bhulaa do main to huii paraaii  chalii re chalii re main to des paraaaye chalii re chalii re main to des paraaaye bhiigii bhiigii palakon mein pyaar chhupaaye chalii re chalii re main to  jalaaye the jo diip ab wo bujhaa do jalaaye the jo diip ab wo bujhaa do mere pyaar kaa har nishaan tak mitaa do sapanaa hii samajho sapanaa hii samajho jo sapane sajaaye chalii re chalii re main to des paraaaye bhiigii bhiigii palakon mein pyaar chhupaaye chalii re chalii re main to  huii aaj jhuuthii wo aapas kii kasamein huii aaj jhuuthii wo aapas kii kasamein karein haay kyaa ham jo kisamat na bas mein likhaa bhaag mein jo likhaa bhaag mein jo mite naa mitaaye chalii re chalii re main to des paraaaye bhiigii bhiigii palakon mein pyaar chhupaaye chalii re chalii re main to 
pahalii pahalii baar mile hain  achchhaa jii,road no 303,1960,rafi asha,c arjun,naqsh lyallpuri,  ra 	pahalii pahalii baar mile hain do diivaane aa 	achchhaa jii ra 	ho jaaegaa pyaar kisii naa kisii bahaane aa 	achchhaa jii ra 	pahalii pahalii baar mile threedots  aa 	aankhon ne aankhon se milakar khole dil ke raaz ra 	mere dil ne tere dil kii samajhii hai aavaaz aa 	tumhiin socho tumhiin samajho aage kyaa hogaa ra 	pahalii pahalii baar mile threedots  ra 	baaton hii baaton men tuune chhede dil ke taar aa 	hansate hansate ham ye kaisaa kar baithe ikaraar ra 	chhodo jii pachhataanaa kaisaa huaa jo honaa thaa aa 	pahalii pahalii baar mile threedots  aa 	hamane tumase tumane hamase kah dii dil kii baat ra 	haath badhaakar haath milaa lo rahenge donon saath aa 	kyaa kar legii duniyaa dekhaa jaaegaa do 	pahalii pahalii baar mile threedots 
khulii palak men jhuuthaa gussaa band palak men pyaar,professor,1962,rafi,shankarjaikishan,shailendra, zaraa thaharo zaraa thaharo sadaa mere dil kii zaraa sunatii jaao  khulii palak men jhuuthaa gussaa band palak men pyaar jiinaa bhii mushkil haay maranaa bhii mushkil aankhon men ikaraar kii jhalkii hothon par inkaar jiinaa bhii mushkil haay maranaa bhii mushkil  jis din se dekhaa tumako tum lage mujhe apane se aur aake rahe aankhon men haay aur aake rahe aankhon men ik manachaahe sapane se samajh naa aaye kyaa jiitaa main aur gayaa kyaa haar jiinaa bhii mushkil haay maranaa bhii mushkil threedots  tum pyaar chhupaake haare main pyaar jataake haaraa ab to saarii duniyaa pe haay ab to saarii duniyaa pe zaahir hai haal hamaaraa pahunch ke is manzil pe lautanaa ab to hai dushwaar jiinaa bhii mushkil haay maranaa bhii mushkil threedots  ise merii baat na samajho kyaa banataa hai baat banaa ke kuchh kahanaa thaa mere dil kaa haay kuchh kahanaa thaa mere dil kaa jaataa huun vahii doharaa ke na ho yaqiin to padhakar dekho aankhon men ik baar jiinaa bhii mushkil haay maranaa bhii mushkil threedots
bedardii mere saiyaan shabanam hain kabhii shole,chaudhvin kaa chaand,1960,asha,ravi,shakeel,  bedardii mere saiyaan shabanam hain kabhii shole andar se bade zaalim baahar se bade bhole bedardii mere saiyaan threedots  matalab ke hain rasiyaa koii inhen kyaa samajhe ye kud bhii nahiin apane bas inako kudaa samajhe dam bhar men ye tolaa hain dam bhar men maashaa hain banate hain tamaashaaii aur kud hii tamaashaa hain rahrah ke badalate hain dinraat nae chole andar se bade zaalim threedots  har ik adaa mere baalam kii niraalii hai baaten mohabbat kii magar pyaar se khaalii hain aadat se hain bade chanchal suurat hai badii saadaa aaj isako diyaa kal usase kiyaa vaadaa harajaaii hain inase koii kyaa bole andar se bade zaalim threedots 
aake siidhii lagii dil pe jaise katariyaa o saanwariyaa oy,half ticket,1962,kishore,salil chowdhury,shailendra,                         aake siidhii lagii dil pe jaise katariyaa o saanwariyaa oy hoy                        o terii tirachhii najariyaaa                        le gayii meraa dil terii julmii najariyaa o gujariyaa oy hoy hoy                        o jaane saarii nagariyaa                         chhed chhed jaate ho kyuun dil ke taar                        o saiyaan o saiyaan o saiyaan padun tore paiyaan                        merii galii aate ho kyuun baar baar                        chhed chhed jaate ho kyuun dil ke taar                        jo naa tujhe dekhun naa aaye qaraar                        o gorii o gorii o gorii bad ke budhan tiir vii takkar                        kyaa main karuun gorii mujhe tujhase hai pyaar                        jo naa tujhe dekhun naa aaye qaraar                        hato jaao haay haay naa banaao haay haay haay                        natakhat rangiile sanwariyaa                        aake siidhii lagii dil pe jaise katariyaa o saanwariyaa haay haay                        maan jaao varnaa machaa duungii shor                       bachaao o munai o murge o kauve                      piichhe pichhe aate ho kyuun dil ke chor                       maan jaao varnaa machaa duungii shor                       ab hamase kahtii ho chal piichhaa chhod                        o gorii o natakhat o khatapat o panaghat o jhatapat                        pahale to baandhii nigaahon ki dor                        ab hamase kahtii ho chal piichhaa chhod                       o tore nainnaa haay haay miithe bainnaa oy hoy                       mujhako banaa gaye baanwariyaa                       aake siidhii lagii dil pe jaise katariyaa o saanwariyaa oy hoy                       o terii tirachhii najariyaaa                        o jaane saarii nagariyaa male     o gujariyaa
bach ke jaane na duungii diladaar terii merii laagii sarat,prince,1969,rafi lata,shankarjaikishan,farooq kaisar,  la 	bach ke jaane na duungii diladaar terii merii laagii sarat 2 ra 	 khaalii jaaenge  2 nainon ke baan terii merii laagii sarat 2 la 	bach ke jaane na threedots  	chaand se mukh pe bindiyaa chamakane lagii 2 	laal honthon kii agni bhadakane lagii 	ruup aisaa kisii ne na dekhaa kahiin 2 	har qadam pe javaanii chhalakane lagii 2 	 maar daalegaa  2 solah singaar 	terii merii laagii sarat 	bach ke jaane na threedots  ra 	tere piichhe hai jag mere piichhe hai tuu 	har qadam pe meraa haath khiinche hai 2 	log jaljal ke dekhe hain merii taraf 2 	merii baanhon men jab aankh miinche hai tuu 2 	 badaa adiyal hai  2 manavaa hamaar  	terii merii laagii sarat la 	bach ke jaane na threedots  	mujhako nainon men koii chhupaae nahiin 2 	siidhaasaadaa mujhe pyaar bhaae nahiin 	sach kahuungii piyaa chaahe laage buraa 2 	tujhako chhede binaa chain aae nahiin 2 	 tiikhii batiyon se  2 badhataa hai pyaar 	terii merii laagii sarat 	bach ke jaane na threedots 
kabhii ruk gaye to,rahgir,1968,hemant,hemant,gulzar, kabhii ruk gaye hain kabhii chal diye na jaane kise dhuundate hain safar me kise kho diyaa thaa na jaane dagar me na jaane kise dhuundate hain safar me  akele rahen zindagii bhar akele na dil saath aayaa na gam saath aaye yahii raasten jinakii manzil nahiin thii yahii saath the bas yahii saath aaye kabhii ruk gaye hain threedots  kabhii maang kar le liye gam kisii kii kabhii apane gam kar diye hain paraaye ye bedard yaaden ye hamdard aansuu badii duur tak chhodane saath aaye kabhii ruk gaye hain threedots  kinaaraa milaa jo kinaaraa nahiin thaa bahaanaa thaa koii sahaaraa nahiin thaa yahii ek dil jisako samajhe the apanaa na jaane thaa kisakaa hamaaraa nahiin thaa  
aaii hain bahaaren mite zulmositam,raam aur shyam,1968,rafi,naushad,shakeel, rafii aaii hain bahaaren mite zulmositam        pyaar kaa zamaanaa aayaa duur hue gam        raam kii lilaa rang laaii koras ahaa haa rafii shaam ne bansii bajaaii koras ahaa haahaa                            2  rafii chamakaa hai inasaaf kaa suuraj phailaa hai ujaalaa koras ujaalaa        chamakaa hai inasaaf kaa suuraj phailaa hai ujaalaa rafii naii umangen sang laayegaa har din aanevaalaa koras aanevaalaa        naii umangen sang laayegaa har din aanevaalaa rafii ho ho        munnaa giit sunaayegaa        tunnaa dhol bajaayegaa koras munnaa giit sunaayegaa tunna dhol bajaayegaa rafii sangsang merii chhotii munnii naachegii chhamchham  rafii  koras        aaii hain bahaaren mite zulmositam        pyaar kaa zamaanaa aaya duur hue gam        raam kii liilaa rang laaii koras ahaa haa rafii shaam ne bansii bajaaii koras ahaa haahaa  rafii ab na honge majabuurii ke is ghar men afasaane koras ab naa honge majabuurii ke is ghar men afasaane rafii pyaar ke rang men rang jaayenge sab apane begaane koras pyaar ke rang men rang jaayenge sab apane begaane rafii ho ho ho        sab ke din phir jaayenge        manzil apanii paayenge        jiivan ke taraane milake gaayenge haradam rafii  koras  male koras        ho        aaii hain bahaaren mite zulmositam        pyaar kaa zamaanaa aaya duur hue gam rafii  male koras        raam kii liilaa rang laaii koras ahaa haa rafii  male koras        shaam ne bansii bajaaii koras ahaa haahaa rafii  koras  m koras        aaaa        aaaa
